Player,PTS2,BLK2,STL2,AST2,TRB2,Value,Year
Davis Bertans,8.0,0.4,0.5,1.3,3.5,16.85,2019
Davon Reed,1.2,0.0,0.1,0.3,0.6,2.67,2019
De'Aaron Fox,17.3,0.6,1.6,7.3,3.8,39.41,2019
De'Anthony Melton,5.0,0.5,1.4,3.2,2.7,18.74,2019
DeAndre Jordan,11.0,1.1,0.6,2.3,13.1,35.27,2019
DeAndre' Bembry,8.4,0.5,1.3,2.5,4.4,22.83,2019
DeMar DeRozan,21.2,0.5,1.1,6.2,6.0,42.5,2019
DeMarcus Cousins,16.3,1.5,1.3,3.6,8.2,39.94,2019
DeMarre Carroll,11.1,0.1,0.5,1.3,5.2,21.09,2019
DeVaughn Akoon-Purcell,1.0,0.0,0.3,0.9,0.6,3.97,2019
Deandre Ayton,16.3,0.9,0.9,1.8,10.3,36.76,2019
Delon Wright,8.7,0.4,1.2,3.3,3.5,22.65,2019
Demetrius Jackson,3.7,0.0,0.3,0.8,0.5,6.4,2019
Deng Adel,1.7,0.2,0.1,0.3,1.0,4.25,2019
Dennis Schroder,15.5,0.2,0.8,4.1,3.6,28.97,2019
Dennis Smith,13.6,0.4,1.3,4.8,2.9,29.38,2019
Deonte Burton,2.6,0.3,0.2,0.3,0.9,5.63,2019
Derrick Favors,11.8,1.4,0.7,1.2,7.4,28.78,2019
Derrick Jones,7.0,0.7,0.8,0.6,4.0,17.2,2019
Derrick Rose,18.0,0.2,0.6,4.3,2.7,30.09,2019
Derrick White,9.9,0.7,1.0,3.9,3.7,25.29,2019
Devin Booker,26.6,0.2,0.9,6.8,4.1,45.02,2019
Devin Harris,6.3,0.2,0.5,1.8,1.6,13.02,2019
Devin Robinson,6.7,0.9,0.6,0.9,2.9,16.03,2019
Devonte' Graham,4.7,0.0,0.5,2.6,1.4,11.78,2019
Dewayne Dedmon,10.8,1.1,1.1,1.4,7.5,28.5,2019
Deyonta Davis,4.0,0.6,0.3,0.6,4.0,12.4,2019
Dillon Brooks,7.5,0.2,0.6,0.9,1.7,13.29,2019
Dion Waiters,12.0,0.2,0.7,2.8,2.6,22.02,2019
Dirk Nowitzki,7.3,0.4,0.2,0.7,3.1,13.87,2019
Domantas Sabonis,14.1,0.4,0.6,2.9,9.3,32.61,2019
Donatas Motiejunas,2.0,0.3,0.0,0.3,1.0,4.55,2019
Donovan Mitchell,23.8,0.4,1.4,4.2,4.1,40.42,2019
Donte DiVincenzo,4.9,0.2,0.5,1.1,2.4,11.53,2019
Donte Grantham,0.0,0.0,0.0,0.0,0.0,0.0,2019
Dorian Finney-Smith,7.5,0.4,0.9,1.2,4.8,18.96,2019
Doug McDermott,7.3,0.1,0.2,0.9,1.4,11.23,2019
Dragan Bender,5.0,0.5,0.4,1.2,4.0,14.3,2019
Draymond Green,7.4,1.1,1.4,6.9,7.3,34.01,2019
Drew Eubanks,1.8,0.2,0.1,0.3,1.5,4.95,2019
Duncan Robinson,3.3,0.0,0.3,0.3,1.3,6.21,2019
Dusty Hannahs,4.0,0.0,0.5,2.5,0.5,9.85,2019
Dwayne Bacon,7.3,0.1,0.3,1.1,2.1,12.67,2019
Dwight Howard,12.8,0.4,0.8,0.4,9.2,28.04,2019
Dwight Powell,10.6,0.6,0.6,1.5,5.3,22.81,2019
Dwyane Wade,15.0,0.5,0.8,4.2,4.0,30.0,2019
Dzanan Musa,2.1,0.0,0.2,0.2,0.6,3.72,2019
E'Twaun Moore,11.9,0.2,0.8,1.9,2.4,20.63,2019
Ed Davis,5.8,0.4,0.4,0.8,8.6,19.72,2019
Edmond Sumner,2.9,0.2,0.5,0.4,1.0,6.8,2019
Ekpe Udoh,2.3,0.6,0.2,0.5,1.8,7.61,2019
Elfrid Payton,10.6,0.4,1.0,7.6,5.2,32.44,2019
Elie Okobo,5.7,0.1,0.6,2.4,1.8,13.56,2019
Emanuel Terry,3.3,0.0,1.0,0.7,2.3,10.11,2019
Emmanuel Mudiay,14.8,0.3,0.7,3.9,3.3,27.61,2019
Enes Kanter,13.7,0.4,0.5,1.7,9.8,30.71,2019
Eric Bledsoe,15.9,0.4,1.5,5.5,4.6,35.37,2019
Eric Gordon,16.2,0.4,0.6,1.9,2.2,24.69,2019
Eric Moreland,1.4,0.2,0.2,0.8,4.0,8.6,2019
Ersan Ilyasova,6.8,0.3,0.5,0.8,4.5,15.8,2019
Evan Fournier,15.1,0.1,0.9,3.6,3.2,27.34,2019
Evan Turner,6.8,0.2,0.5,3.9,4.5,20.15,2019
Frank Jackson,8.1,0.0,0.4,1.1,2.2,13.59,2019
Frank Kaminsky,8.6,0.3,0.3,1.3,3.5,16.55,2019
Frank Mason,5.1,0.1,0.4,2.2,1.1,11.22,2019
Frank Ntilikina,5.7,0.3,0.7,2.8,2.0,15.3,2019
Fred VanVleet,11.0,0.3,0.9,4.8,2.6,24.92,2019
Furkan Korkmaz,5.8,0.0,0.6,1.1,2.2,11.89,2019
Garrett Temple,7.8,0.4,1.0,1.4,2.9,17.58,2019
Gary Clark,2.9,0.5,0.4,0.4,2.3,8.96,2019
Gary Harris,12.9,0.3,1.0,2.2,2.8,23.46,2019
Gary Payton,3.7,0.3,1.0,1.3,0.7,10.39,2019
Gary Trent,2.7,0.1,0.1,0.3,0.7,4.59,2019
George Hill,7.6,0.1,0.9,2.3,2.5,17.05,2019
George King,0.0,0.0,0.0,0.0,1.0,1.2,2019
Georges Niang,4.0,0.1,0.2,0.6,1.5,7.6,2019
Gerald Green,9.2,0.4,0.5,0.5,2.5,15.65,2019
Giannis Antetokounmpo,27.7,1.5,1.3,5.9,12.5,59.95,2019
Glenn Robinson,4.2,0.2,0.3,0.4,1.5,8.1,2019
Goran Dragic,13.7,0.1,0.8,4.8,3.1,27.32,2019
Gordon Hayward,11.5,0.3,0.9,3.4,4.5,25.6,2019
Gorgui Dieng,6.4,0.5,0.6,0.9,4.1,15.97,2019
Grayson Allen,5.6,0.2,0.2,0.7,0.6,8.57,2019
Greg Monroe,5.3,0.2,0.3,0.6,4.0,12.5,2019
Guerschon Yabusele,2.3,0.2,0.2,0.4,1.3,5.66,2019
Hamidou Diallo,3.7,0.2,0.4,0.3,1.9,8.23,2019
Harrison Barnes,16.4,0.2,0.6,1.5,4.7,26.69,2019
Harry Giles,7.0,0.4,0.5,1.5,3.8,16.51,2019
Hassan Whiteside,12.3,1.9,0.6,0.8,11.3,34.56,2019
Haywood Highsmith,1.8,0.0,0.2,0.4,1.0,4.2,2019
Henry Ellenson,6.0,0.1,0.4,0.8,3.5,12.9,2019
Ian Clark,6.7,0.1,0.4,1.6,1.5,12.4,2019
Ian Mahinmi,4.1,0.5,0.7,0.7,3.8,13.31,2019
Ike Anigbogu,0.0,0.3,0.0,0.3,1.0,2.55,2019
Iman Shumpert,7.5,0.4,1.0,1.8,3.0,18.0,2019
Isaac Bonga,0.9,0.2,0.4,0.7,1.1,5.07,2019
Isaac Humphries,3.0,0.0,0.2,0.0,2.2,6.24,2019
Isaiah Briscoe,3.5,0.1,0.3,2.2,1.9,10.28,2019
Isaiah Canaan,6.0,0.1,0.5,2.8,1.9,14.28,2019
Isaiah Hartenstein,1.9,0.4,0.3,0.5,1.7,6.79,2019
Isaiah Hicks,4.0,1.0,0.3,0.7,2.3,11.71,2019
Isaiah Thomas,8.1,0.1,0.4,1.9,1.1,13.77,2019
Ish Smith,8.9,0.2,0.5,3.6,2.6,19.52,2019
Ivan Rabb,5.8,0.3,0.3,1.1,4.2,14.29,2019
Ivica Zubac,8.9,0.9,0.2,1.1,6.1,21.17,2019
J.J. Barea,10.9,0.0,0.6,5.6,2.5,24.1,2019
J.J. Redick,18.1,0.2,0.4,2.7,2.4,26.83,2019
J.P. Macura,3.0,0.0,0.0,1.0,1.5,6.3,2019
J.R. Smith,6.7,0.3,1.0,1.9,1.6,15.37,2019
JaKarr Sampson,20.0,0.8,1.0,1.0,8.0,36.5,2019
JaMychal Green,9.4,0.5,0.7,0.8,6.3,21.76,2019
JaVale McGee,12.0,2.0,0.6,0.7,7.5,29.85,2019
Jabari Parker,14.5,0.5,0.7,2.4,6.6,29.62,2019
Jacob Evans,1.3,0.1,0.2,0.8,0.8,4.36,2019
Jae Crowder,11.9,0.4,0.8,1.7,4.8,23.81,2019
Jahlil Okafor,8.2,0.7,0.3,0.7,4.7,17.89,2019
Jake Layman,7.6,0.4,0.4,0.7,3.1,14.77,2019
Jakob Poeltl,5.5,0.9,0.4,1.2,5.3,17.56,2019
Jalen Brunson,9.3,0.1,0.5,3.2,2.3,18.66,2019
Jalen Jones,5.1,0.1,0.6,0.4,2.1,10.32,2019
Jamal Crawford,7.9,0.2,0.5,3.6,1.3,16.96,2019
Jamal Murray,18.2,0.4,0.9,4.8,4.2,34.34,2019
James Ennis,6.7,0.4,0.7,0.7,3.1,14.77,2019
James Harden,36.1,0.7,2.0,7.5,6.6,63.37,2019
James Johnson,7.8,0.5,0.6,2.5,3.2,18.69,2019
James Nunnally,2.4,0.0,0.1,0.5,0.3,3.81,2019
Jared Dudley,4.9,0.3,0.6,1.4,2.6,12.82,2019
Jared Terrell,2.2,0.1,0.2,0.9,0.4,4.93,2019
Jarell Martin,2.7,0.2,0.1,0.4,1.7,6.24,2019
Jaren Jackson,13.8,1.4,0.9,1.1,4.7,27.99,2019
Jaron Blossomgame,4.2,0.3,0.3,0.5,3.6,11.07,2019
Jarred Vanderbilt,1.4,0.1,0.4,0.2,1.4,4.88,2019
Jarrett Allen,10.9,1.5,0.5,1.4,8.4,29.08,2019
Jason Smith,3.3,0.4,0.2,0.7,2.6,9.27,2019
Jawun Evans,0.8,0.0,0.4,1.3,1.5,5.75,2019
Jaylen Adams,3.2,0.1,0.4,1.9,1.8,9.71,2019
Jaylen Brown,13.0,0.4,0.9,1.4,4.2,24.04,2019
Jaylen Morris,2.5,0.0,0.5,1.0,1.3,7.06,2019
Jayson Tatum,15.7,0.7,1.1,2.1,6.0,31.45,2019
Jeff Green,12.3,0.5,0.6,1.8,4.0,23.1,2019
Jeff Teague,12.1,0.4,1.0,8.2,2.5,31.6,2019
Jemerrio Jones,4.5,0.8,1.2,2.2,8.2,23.64,2019
Jerami Grant,13.6,1.3,0.8,1.0,5.2,27.64,2019
Jeremy Lamb,15.3,0.4,1.1,2.2,5.5,29.7,2019
Jeremy Lin,9.6,0.2,0.6,3.1,2.4,19.53,2019
Jerian Grant,4.2,0.1,0.7,2.6,1.6,12.42,2019
Jerome Robinson,3.4,0.1,0.3,0.6,1.2,6.94,2019
Jerryd Bayless,6.1,0.1,0.5,3.5,1.8,15.31,2019
Jevon Carter,4.4,0.3,0.7,1.8,1.7,12.14,2019
Jimmer Fredette,3.7,0.0,0.5,1.3,1.2,8.59,2019
Jimmy Butler,18.7,0.6,1.9,4.0,5.3,38.56,2019
Joakim Noah,7.1,0.7,0.5,2.1,5.7,20.69,2019
Jodie Meeks,6.4,0.1,0.1,1.0,1.5,10.3,2019
Joe Chealey,2.0,0.0,0.0,1.0,0.0,3.5,2019
Joe Harris,13.7,0.2,0.5,2.4,3.8,23.96,2019
Joe Ingles,12.1,0.2,1.2,5.7,4.0,29.65,2019
Joel Embiid,27.5,1.9,0.7,3.7,13.6,57.17,2019
John Collins,19.5,0.6,0.4,2.0,9.8,37.26,2019
John Henson,5.6,0.8,0.5,1.0,5.1,17.12,2019
John Holland,0.0,0.0,0.0,0.0,0.0,0.0,2019
John Jenkins,4.7,0.1,0.0,0.8,1.4,7.88,2019
John Wall,20.7,0.9,1.5,8.7,3.6,45.27,2019
Johnathan Motley,4.6,0.1,0.2,0.5,2.3,9.01,2019
Johnathan Williams,6.5,0.3,0.3,0.5,4.1,13.97,2019
Jon Leuer,3.8,0.1,0.3,0.3,2.4,8.33,2019
Jonah Bolden,4.7,0.9,0.4,0.9,3.8,14.51,2019
Jonas Jerebko,6.3,0.2,0.4,1.3,3.9,14.73,2019
Jonas Valanciunas,15.6,1.1,0.4,1.4,8.6,32.52,2019
Jonathan Isaac,9.6,1.3,0.8,1.1,5.5,24.15,2019
Jonathon Simmons,6.5,0.3,0.5,2.3,2.3,15.11,2019
Jordan Bell,3.3,0.8,0.3,1.1,2.7,11.49,2019
Jordan Clarkson,16.8,0.2,0.7,2.4,3.3,27.06,2019
Jordan Loyd,2.4,0.0,0.0,0.5,0.8,4.11,2019
Jordan McRae,5.9,0.3,0.5,1.1,1.5,11.75,2019
Jordan Sibert,3.0,0.0,0.0,0.0,0.0,3.0,2019
Jose Calderon,2.3,0.1,0.3,2.3,1.2,8.39,2019
Josh Hart,7.8,0.6,1.0,1.4,3.7,19.14,2019
Josh Jackson,11.5,0.7,0.9,2.3,4.4,25.03,2019
Josh Okogie,7.7,0.4,1.2,1.2,2.9,17.78,2019
Josh Richardson,16.6,0.5,1.1,4.1,3.6,31.87,2019
Jrue Holiday,21.2,0.8,1.6,7.7,5.0,45.95,2019
Juan Hernangomez,5.8,0.3,0.4,0.8,3.8,13.66,2019
Julian Washburn,2.2,0.1,0.7,0.8,2.3,8.56,2019
Julius Randle,21.4,0.6,0.7,3.1,8.7,40.39,2019
Justin Anderson,3.7,0.3,0.5,0.5,1.8,9.01,2019
Justin Holiday,10.5,0.4,1.5,1.8,3.9,23.58,2019
Justin Jackson,7.2,0.2,0.4,1.2,2.6,13.92,2019
Justin Patton,1.7,0.0,0.7,1.0,2.0,7.7,2019
Justise Winslow,12.6,0.3,1.1,4.3,5.4,29.73,2019
Jusuf Nurkic,15.6,1.4,1.0,3.2,10.4,40.08,2019
Kadeem Allen,9.9,0.2,0.8,4.0,2.7,22.14,2019
Kalin Lucas,2.0,0.0,0.0,1.0,3.0,7.1,2019
Karl-Anthony Towns,24.4,1.6,0.9,3.4,12.4,51.88,2019
Kawhi Leonard,26.6,0.4,1.8,3.3,7.3,46.91,2019
Keita Bates-Diop,5.0,0.5,0.6,0.6,2.8,12.56,2019
Kelly Olynyk,10.0,0.5,0.7,1.8,4.7,21.94,2019
Kelly Oubre,15.2,0.9,1.2,1.2,4.7,28.94,2019
Kemba Walker,25.6,0.4,1.2,5.9,4.4,44.53,2019
Kenneth Faried,10.4,0.6,0.5,0.5,6.8,22.61,2019
Kenrich Williams,6.1,0.4,1.0,1.8,4.8,18.76,2019
Kent Bazemore,11.6,0.6,1.3,2.3,3.9,25.43,2019
Kentavious Caldwell-Pope,11.4,0.2,0.9,1.3,2.9,20.13,2019
Kevin Durant,26.0,1.1,0.7,5.9,6.4,47.93,2019
Kevin Huerter,9.7,0.3,0.9,2.9,3.3,21.61,2019
Kevin Knox,12.8,0.3,0.6,1.1,4.5,22.55,2019
Kevin Love,17.0,0.2,0.3,2.2,10.9,34.88,2019
Kevon Looney,6.3,0.7,0.6,1.5,5.2,18.69,2019
Khem Birch,4.8,0.6,0.4,0.8,3.8,13.56,2019
Khris Middleton,18.3,0.1,1.0,4.3,6.0,35.25,2019
Khyri Thomas,2.3,0.2,0.3,0.3,0.8,5.21,2019
Klay Thompson,21.5,0.6,1.1,2.4,3.8,34.76,2019
Kobi Simmons,0.0,0.0,0.0,0.0,0.0,0.0,2019
Kosta Koufos,3.7,0.4,0.4,0.9,4.2,12.49,2019
Kostas Antetokounmpo,1.0,0.0,1.0,0.0,0.5,4.6,2019
Kris Dunn,11.3,0.5,1.5,6.0,4.1,31.22,2019
Kyle Anderson,8.0,0.9,1.3,3.0,5.8,26.06,2019
Kyle Korver,8.6,0.2,0.4,1.2,2.3,14.96,2019
Kyle Kuzma,18.7,0.4,0.6,2.5,5.5,32.05,2019
Kyle Lowry,14.2,0.5,1.4,8.7,4.8,38.71,2019
Kyle O'Quinn,3.5,0.6,0.2,1.2,2.6,10.82,2019
Kyrie Irving,23.8,0.5,1.5,6.9,5.0,46.15,2019
LaMarcus Aldridge,21.3,1.3,0.5,2.4,9.2,41.34,2019
Lance Stephenson,7.2,0.1,0.6,2.1,3.2,16.29,2019
Lance Thomas,4.5,0.2,0.4,0.6,2.5,10.2,2019
Landry Shamet,9.1,0.1,0.5,1.5,1.7,15.19,2019
Langston Galloway,8.4,0.1,0.5,1.1,2.1,14.37,2019
Larry Nance,9.4,0.6,1.5,3.2,8.2,30.34,2019
Lauri Markkanen,18.7,0.6,0.7,1.4,9.0,35.5,2019
LeBron James,27.4,0.6,1.3,8.3,8.5,55.75,2019
Lonnie Walker,2.6,0.2,0.4,0.5,1.0,6.35,2019
Lonzo Ball,9.9,0.4,1.5,5.4,5.3,30.06,2019
Lorenzo Brown,2.1,0.2,0.5,1.1,1.2,7.29,2019
Lou Williams,20.0,0.1,0.8,5.4,3.0,34.4,2019
Luc Mbah a Moute,5.0,0.3,0.3,0.5,1.8,9.71,2019
Luka Doncic,21.2,0.3,1.1,6.0,7.8,43.76,2019
Luke Kennard,9.7,0.2,0.4,1.8,2.9,17.68,2019
Luke Kornet,7.0,0.9,0.6,1.2,2.9,16.78,2019
Luol Deng,7.1,0.4,0.7,0.8,3.3,15.56,2019
Malachi Richardson,1.4,0.0,0.0,0.0,0.6,2.12,2019
Malcolm Brogdon,15.6,0.2,0.7,3.2,4.5,28.5,2019
Malcolm Miller,3.5,0.1,0.1,0.1,0.5,4.85,2019
Malik Beasley,11.3,0.1,0.7,1.2,2.5,18.5,2019
Malik Monk,8.9,0.3,0.5,1.6,1.9,15.98,2019
MarShon Brooks,6.6,0.1,0.3,0.9,1.6,11.07,2019
Marc Gasol,13.6,1.1,1.1,4.4,7.9,36.28,2019
Marcin Gortat,5.0,0.5,0.1,1.4,5.6,15.62,2019
Marco Belinelli,10.5,0.1,0.4,1.7,2.5,17.55,2019
Marcus Derrickson,4.2,0.1,0.0,0.1,1.2,6.09,2019
Marcus Morris,13.9,0.3,0.6,1.5,6.1,26.17,2019
Marcus Smart,8.9,0.4,1.8,4.0,2.9,24.98,2019
Mario Hezonja,8.8,0.1,1.0,1.5,4.1,19.27,2019
Markelle Fultz,8.2,0.3,0.9,3.1,3.7,20.89,2019
Markieff Morris,9.4,0.4,0.6,1.4,4.6,20.02,2019
Marquese Chriss,4.2,0.3,0.4,0.5,3.3,11.01,2019
Marvin Bagley,14.9,1.0,0.5,1.0,7.6,30.02,2019
Marvin Williams,10.1,0.8,0.9,1.2,5.4,23.48,2019
Mason Plumlee,7.8,0.9,0.8,3.0,6.4,25.08,2019
Matthew Dellavedova,5.9,0.0,0.3,3.8,1.6,14.42,2019
Maurice Harkless,7.7,0.9,1.1,1.2,4.5,20.9,2019
Maxi Kleber,6.8,1.1,0.5,1.0,4.6,18.62,2019
Melvin Frazier,1.5,0.0,0.1,0.1,0.5,2.55,2019
Meyers Leonard,5.9,0.1,0.2,1.2,3.8,13.16,2019
Michael Beasley,7.0,0.4,0.3,1.0,2.3,13.36,2019
Michael Carter-Williams,4.8,0.5,0.7,2.5,2.5,15.15,2019
Michael Kidd-Gilchrist,6.7,0.6,0.5,1.0,3.8,16.06,2019
Mikal Bridges,8.3,0.5,1.6,2.1,3.2,21.59,2019
Mike Conley,21.1,0.3,1.3,6.4,3.4,39.58,2019
Mike Muscala,7.0,0.6,0.3,1.2,3.8,16.06,2019
Mike Scott,5.8,0.2,0.3,0.8,3.5,12.7,2019
Miles Bridges,7.5,0.6,0.7,1.2,4.0,18.0,2019
Miles Plumlee,4.4,0.2,0.3,0.9,2.2,9.89,2019
Milos Teodosic,3.2,0.1,0.2,2.1,1.1,8.57,2019
Mitch Creek,4.2,0.0,0.4,1.2,2.4,10.08,2019
Mitchell Robinson,7.3,2.4,0.8,0.6,6.4,25.48,2019
Mohamed Bamba,6.2,1.4,0.3,0.8,5.0,18.5,2019
Monte Morris,10.4,0.0,0.9,3.6,2.4,21.38,2019
Montrezl Harrell,16.6,1.3,0.9,2.0,6.5,34.0,2019
Moritz Wagner,4.8,0.3,0.3,0.6,2.0,9.9,2019
Myles Turner,13.3,2.7,0.8,1.6,7.2,34.84,2019
Naz Mitrou-Long,1.1,0.1,0.1,1.1,0.4,3.83,2019
Nemanja Bjelica,9.6,0.7,0.7,1.9,5.8,23.61,2019
Nene Hilario,3.6,0.4,0.4,0.6,2.9,10.38,2019
Nerlens Noel,4.9,1.2,0.9,0.6,4.2,17.14,2019
Nick Young,2.3,0.3,0.0,0.5,0.3,4.31,2019
Nicolas Batum,9.3,0.6,0.9,3.3,5.2,24.99,2019
Nik Stauskas,5.9,0.1,0.3,1.2,1.9,11.18,2019
Nikola Jokic,20.1,0.7,1.4,7.3,10.8,50.31,2019
Nikola Mirotic,15.2,0.7,0.7,1.2,7.4,30.08,2019
